problem_sha256,applied_params_hash,status,elapsed_ms,num_variables,num_bool,num_int,num_constraints,num_workers,num_conflicts,num_branches,deterministic_time
3d58d5670d05e6b5f03761602fe37e31f464f8e740d8b5d658f543f2e56ca9ce,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,6812.85,4589,3316,1273,54218,8,2229,58285,7.44364
3e2b36379a2919afebb3b79a5e34bd8fd946fbc28059edd6a832ad467f412fc3,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,626.761,1856,1264,592,20575,8,326,9895,0.978811
3e69d6f5b7856ea1d07e24a00ad14594b6ba146d0685bdb57e54a8483065b9d0,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,1384.5,2565,1783,782,28938,8,955,19368,2.31893
3edc7a438782c8c667a53e1e8de98b1335e55876bdc718a1196ba66d8824b9f5,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,2204.94,2322,1531,791,26774,8,4661,23327,3.42086
3f9aacb091d6566f953a6f7bc9c46073305546a98e45d4e798ad1c3b2bafdff4,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,7769.88,4806,3325,1481,56210,8,1852,61786,8.39234
3f9eb14b64530ab041bc300966e5f7fa1a44b578d0360f41468139f57fb9b6d8,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,701.966,1316,869,447,15389,8,0,0,0.141513
40d5a4d59eb7467a69cb957e595b84c37998dd03e00f071ad1063e219053a924,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,3245.66,4040,2924,1116,44649,8,1366,41353,6.65273
4248a692d844a140c65947d9334b1b07f2b57b9d6ca9bbefd3d11a7bc76d1ef4,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,2662.56,2322,1531,791,26774,8,362,13873,2.77881
42af128a10b50d2ba614168ff1e913357115bba1cd35e3a7e93b5bebc8ba2456,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,7075.59,4054,2930,1124,45469,8,3684,73635,7.57263
435a351b429715b8e1cd5932672f1f7a52fd843f3599ce90c7127f27a5906ab1,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,3472.88,3488,2362,1126,40581,8,1390,41486,7.61202
458c6b0e91f3e132ee1877e7eaa1d6e887bfe937db034ec7c79e5c13067e57a0,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,INFEASIBLE,71202.6,20862,16429,4433,236709,8,9602,121165,66.0884
